Country,ISO3,Law_Status,Lead_Limit_Comment
Argentina,ARG,Yes,"As of 31.03.2023.Lead concentration limit: 600 ppm. Prohibits the manufacture, import, distribution and marketing of lead paint."
Armenia,ARM,Yes,As of 31.03.2023.Lead concentration limit: 5000 - 150 000 ppm. Paints must not contain driers containing metals or other chemicals belonging to hazard class 1.
Bangladesh,BGD,Yes,As of 31.03.2023.Lead concentration limit: 90 ppm for decorative paints
Belize,BLZ,No,
Bhutan,BTN,No,
Brazil,BRA,Yes,"As of 31.03.2023.Lead concentration limit: 600 ppm for the manufacture, import, export and use of household paints"
Cameroon,CMR,Yes,"As of 31.03.2023.Lead concentration limit: 90 ppm. Prohibits the manufacture, sale and import of specific lead additives"
China,CHN,Yes,As of 31.03.2023.Lead concentration limit: 90 ppm lead limit for woodware and architectural paints; 1000 ppm lead limit for vehicle and industrial paints
Croatia,HRV,Yes,As of 31.03.2023.Lead concentration limit: EU REACH. Restricts the addition of certain specific lead compounds to paints intended for use by general public
Ecuador,ECU,Yes,"As of 31.03.2023.Lead concentration limit: 100 ppm lead limit for some paints for which there is a high likelihood of human contact; 600 ppm lead limit for
other paints"
El Salvador,SLV,No,
India,IND,Yes,"As of 31.03.2023.Lead concentration limit: 90 ppm lead limit for manufacture, trade, import and export of household and decorative paints"
Indonesia,IDN,No data,
Kazakhstan,KAZ,Yes,As of 31.03.2023.Lead concentration limit not specified. Restricts use of all lead compounds in paint intended for building interiors
Kyrgyz Republic,KGZ,Yes,As of 31.03.2023.Lead concentration limit not specified. Restricts use of all lead compounds in paint intended for building interiors
Maldives,MDV,No,
Mexico,MEX,Yes,As of 31.03.2023.Lead concentration limit: 600 ppm lead limit for paint; some exceptions including coatings for automotive vehicles and industrial or agricultural and gardening equipment
Mongolia,MNG,No,
Myanmar,MMR,No,
Pakistan,PAK,Yes,As of 31.03.2023.Lead concentration limit: 100 ppm. Applies for interior and exterior enamel paints
Panama,PAN,Yes,"As of 31.03.2023.Lead concentration limit: 600 ppm lead limit for the manufacture, import, sale, and use of paint"
Paraguay,PRY,Yes,As of 31.03.2023. Lead concentration limit: 90 ppm
Peru,PER,Yes,"As of 31.03.2023.Lead concentration limit: 90 ppm lead limit for the manufacture, import and sale of paint"
Philippines,PHL,Yes,"As of 31.03.2023.Lead concentration limit: 90 ppm lead limit for architectural, decorative, household and industrial paint"
Serbia,SRB,Yes,"As of 31.03.2023.Lead concentration limit: 600 - 50,000. Restricts use of certain lead compounds in paint; for industrial paints containing lead, precautionary labelling is
required"
Suriname,SUR,No,
Trinidad and Tobago,TTO,Yes,"As of 31.03.2023.Lead concentration limit: 600 ppm lead limit for the export, import, and manufacture of paint; exemptions are industrial paints"
Ukraine,UKR,Yes,As of 31.03.2023.Lead concentration limit: 90 ppm lead limit for the manufacture of paint
Uruguay,URY,Yes,"As of 31.03.2023.Lead concentration limit: 600 ppm lead limit for the production, import and sale of household and decorative paint; exemptions include
paint for agricultural and industrial equipment, bridges, and road markings"
Uzbekistan,UZB,No data,
