Institution,Project_ID,Project_Name,Country,Status,Approval_Date,Total_Commitment_USD,Sector_Codes,Non_Sovereign
ADB,58122-001,Transformative Housing Reforms for Improved Vitality and Empowerment,Armenia,Implementation,,266450000.0,16030,No
ADB,55201-001,Coastal Towns Climate Resilience Project,Bangladesh,Implementation,,250000000.0,"14050,16030,21011,43032,43060",No
ADB,55307-001,Improving Urban Governance and Infrastructure Program,Bangladesh,Implementation,,301000000.0,"14050,16030,21011,43032,43060",No
ADB,39295-013,Third Urban Governance and Infrastructure Improvement (Sector) Project,Bangladesh,Finalisation,,200000000.0,"14031,14032,14050,16030,21011,43032,43060",No
ADB,54355-001,Green and Resilient Affordable Housing Sector Project,Bhutan,Implementation,,30000000.0,16040,No
ADB,53080-001,Heilongjiang Green Transformation Demonstration Project and Program,China,Implementation,,193000000.0,"14015,14032,16040,21011,21061,22020,43032",No
ADB,56182-001,Chongqing Gaoxin District Green and Low-Carbon Urban Development Program,China,Implementation,,195381600,"14015,14022,14031,14032,16040,23183,43032,43060",No
ADB,53067-004,"Inclusive, Resilient, and Sustainable Housing for Urban Poor Sector Project in Tamil Nadu",India,Implementation,,150000000,16040,No
ADB,46094-001,Neighborhood Upgrading and Shelter Project (Phase 2),Indonesia,Finalisation,,74400000,16030,No
ADB,52334-001,Promoting Gender Equality in Housing Finance Project,Kazakhstan,Finalisation,,100000000,16030,No
ADB,58135-001,Promoting Inclusive and Green Housing Finance Project,Kazakhstan,Pipeline,,193948794,16030,No
ADB,58345-001,Enhancing Housing Finance for Affordable and Energy-Efficient Housing Project,Kyrgyz Republic,Implementation,,65000000.0,"16030,24010",No
ADB,41914-014,MLD: EQUITY INVESTMENT AND LOAN TO THE HOUSING DEVELOPMENT FINANCE CORPORATION,Maldives,Finalisation,,7500000,16030,No
ADB,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,Mongolia,Implementation,,50000000.0,16030,No
ADB,45007-005,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 2,Mongolia,Implementation,,66350000.0,16030,No
ADB,49169-002,Ulaanbaatar Green Affordable Housing and Resilient Urban Renewal Sector Project,Mongolia,Implementation,,225000000.0,16040,No
ADB,45007-009,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 3,Mongolia,Implementation,,44650066.0,16030,No
ADB,49430-006,Aimags and Soums Green Regional Development Investment Program - Tranche 1,Mongolia,Implementation,,168200000.0,"14015,14022,14031,14050,16030,16040,21011,21023,23183,23620,23630,24010,24040,31110,31130,31140,31161,31163,43032,43060",No
ADB,49430-005,Aimags and Soums Green Regional Development Investment Program,Mongolia,Implementation,,48000000.0,"14050,16030,16040,21011,23183,23230,23620,23630,24010,24040,31110,31130,31140,31163,43032",No
ADB,47127-002,Mandalay Urban Services Improvement Project,Myanmar,Implementation,,4000000,"14031,14032,16030,43032",No
ADB,37919-014,PHI: NHMFC&apos;s DISPOSAL OF NON-PERFORMING LOANS,Philippines,Finalisation,,33000000,16030,No
ADB,44318-023,Housing for Integrated Rural Development Investment Program - Tranche 1,Uzbekistan,Finalisation,,200000000,16030,No
ADB,44318-025,Housing for Integrated Rural Development Improvement Program - Tranche 2,Uzbekistan,Finalisation,,200000000,16030,No
ADB,44318-026,Housing for Integrated Rural Development Investment Program - Tranche 3,Uzbekistan,Finalisation,,100000000,16030,No
ADB,50022-002,Affordable Rural Housing Program,Uzbekistan,Finalisation,,500000000,16030,No
ADB,51348-001,Mortgage Market Sector Development Program,Uzbekistan,Finalisation,,200000000.0,16030,No
ADB,51348-005,Mortgage Market Sector Development Program,Uzbekistan,Implementation,,150000000,16030,No
